编号,测试用例名称,前置条件,测试步骤,url,method,data,是否运行,后置条件,期望结果（future）,返回结果
,,sleep(2),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""1"",
    ""can_id"": ""160"",
    ""bit0"": ""E8"",
    ""bit1"": ""03"",
    ""bit2"": ""E8"",
    ""bit3"": ""03"",
    ""bit4"": ""E8"",
    ""bit5"": ""03"",
    ""bit6"": ""E8"",
    ""bit7"": ""03"",
    ""isLoop"": false}",是,,,{'result': 'send Successful'}
,,sleep(2),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""1"",
    ""can_id"": ""163"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,"{'result': ['0xe8', '0x3', '0xe8', '0x3', '0xe8', '0x3', '0xe8', '0x3']}"
,,sleep(2),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""1"",
    ""can_id"": ""161"",
    ""bit0"": ""55"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",是,,,{'result': 'send Successful'}
,,sleep(2),3.连接示波器,/oscilloscope/connect,GET,/192.168.90.105,否,,,
,,sleep(2),4.示波器获取脉宽,/oscilloscope/get_measurement,GET,?pos=1,否,,,
,,sleep(2),5.示波器获取频率,/oscilloscope/get_measurement,GET,?pos=3,否,,,
5,跳齿,sleep(2),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""1"",
    ""can_id"": ""162"",
    ""bit0"": ""1"",
    ""bit1"": ""30"",
    ""bit2"": ""30"",
    ""bit3"": ""D0"",
    ""bit4"": ""07"",
    ""bit5"": ""D0"",
    ""bit6"": ""07"",
    ""bit7"": ""0"",
    ""isLoop"": false}",否,,,
,,sleep(2),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""1"",
    ""can_id"": ""164"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",否,,,
,,sleep(2),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""1"",
    ""can_id"": ""160"",
    ""bit0"": ""E8"",
    ""bit1"": ""03"",
    ""bit2"": ""E8"",
    ""bit3"": ""03"",
    ""bit4"": ""E8"",
    ""bit5"": ""03"",
    ""bit6"": ""E8"",
    ""bit7"": ""03"",
    ""isLoop"": false}",否,,,
,,sleep(2),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""1"",
    ""can_id"": ""163"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",否,,,
,,sleep(2),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""1"",
    ""can_id"": ""161"",
    ""bit0"": ""AA"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",否,,,
,,sleep(2),3.连接示波器,/oscilloscope/connect,GET,/192.168.90.105,否,,,
,,sleep(2),4.示波器获取脉宽,/oscilloscope/get_measurement,GET,?pos=1,否,,,
,,sleep(2),5.示波器获取频率,/oscilloscope/get_measurement,GET,?pos=3,否,,,
6,静止,sleep(2),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""1"",
    ""can_id"": ""162"",
    ""bit0"": ""2"",
    ""bit1"": ""30"",
    ""bit2"": ""30"",
    ""bit3"": ""D0"",
    ""bit4"": ""07"",
    ""bit5"": ""D0"",
    ""bit6"": ""07"",
    ""bit7"": ""0"",
    ""isLoop"": false}",否,,,{'result': 'send Successful'}
,,sleep(2),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""1"",
    ""can_id"": ""164"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",否,,,"{'result': ['0x2', '0x30', '0x30', '0xd0', '0x7', '0xd0', '0x7', '0x0']}"
,,sleep(2),1.发送can消息,/vcardas/sent,POST,"{
    ""channel"": ""1"",
    ""can_id"": ""160"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",否,,,{'result': 'send Successful'}
,,sleep(2),2.接收can消息,/vcardas/recv,POST,"{
    ""channel"": ""1"",
    ""can_id"": ""163"",
    ""bit0"": ""0"",
    ""bit1"": ""0"",
    ""bit2"": ""0"",
    ""bit3"": ""0"",
    ""bit4"": ""0"",
    ""bit5"": ""0"",
    ""bit6"": ""0"",
    ""bit7"": ""0"",
    ""isLoop"": false}",否,,,"{'result': ['0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0']}"
,,sleep(2),3.连接示波器,/oscilloscope/connect,GET,/192.168.90.105,否,,,{'result': 'Connection Successful'}
,,sleep(2),4.示波器获取脉宽,/oscilloscope/get_measurement,GET,?pos=1,否,,,{'result': '1.35685250'}
,,sleep(2),5.示波器获取周期,/oscilloscope/get_measurement,GET,?pos=5,否,,,{'result': '0.73700000'}
